country,continent,year,lifeExp,pop,gdpPercap,gdp,score,status,pol_rights,civ_rights
Australia,Oceania,1972,71.93,13177000,16788.62948,221223770657.96,97,Free,40,57
Australia,Oceania,1977,73.49,14074100,18334.19751,258037329175.49103,97,Free,40,57
Australia,Oceania,1982,74.74,15184200,19477.00928,295742804309.376,97,Free,40,57
Australia,Oceania,1987,76.32,16257249,21888.88903,355853119294.0784,97,Free,40,57
Australia,Oceania,1992,77.56,17481977,23424.76683,409511234952.4229,97,Free,40,57
Australia,Oceania,1997,78.83,18565243,26997.93657,501223252920.63654,97,Free,40,57
Australia,Oceania,2002,80.37,19546792,30687.75473,599847158654.3262,97,Free,40,57
Australia,Oceania,2007,81.235,20434176,34435.36744,703658358893.6295,97,Free,40,57
Austria,Europe,1952,66.8,6927772,6137.076492,42516266683.135826,93,Free,37,56
Austria,Europe,1957,67.48,6965860,8842.59803,61596299913.25579,93,Free,37,56
Austria,Europe,1962,69.54,7129864,10750.72111,76651179416.22905,93,Free,37,56
Austria,Europe,1967,70.14,7376998,12834.6024,94680836235.5952,93,Free,37,56
Austria,Europe,1972,70.63,7544201,16661.6256,125698652513.1456,93,Free,37,56
Austria,Europe,1977,72.17,7568430,19749.4223,149472120217.98898,93,Free,37,56
Austria,Europe,1982,73.18,7574613,21597.08362,163589550350.13907,93,Free,37,56
Austria,Europe,1987,74.94,7578903,23687.82607,179527736065.4012,93,Free,37,56
Austria,Europe,1992,76.04,7914969,27042.01868,214036739549.62094,93,Free,37,56
Austria,Europe,1997,77.51,8069876,29095.92066,234800471832.03815,93,Free,37,56
Austria,Europe,2002,78.98,8148312,32417.60769,264148781751.7193,93,Free,37,56
Austria,Europe,2007,79.829,8199783,36126.4927,296229400691.0841,93,Free,37,56
Bahrain,Asia,1952,50.939,120447,9867.084765,1188460758.689955,11,Not Free,1,10
Bahrain,Asia,1957,53.832,138655,11635.79945,1613361772.7397501,11,Not Free,1,10
Bahrain,Asia,1962,56.923,171863,12753.27514,2191816125.38582,11,Not Free,1,10
Bahrain,Asia,1967,59.923,202182,14804.6727,2993238335.8314,11,Not Free,1,10
Bahrain,Asia,1972,63.3,230800,18268.65839,4216406356.412,11,Not Free,1,10
Bahrain,Asia,1977,65.593,297410,19340.10196,5751939723.9236,11,Not Free,1,10
Bahrain,Asia,1982,69.052,377967,19211.14731,7261179715.31877,11,Not Free,1,10
Bahrain,Asia,1987,70.75,454612,18524.02406,8421243625.96472,11,Not Free,1,10
Bahrain,Asia,1992,72.601,529491,19035.57917,10079167850.302471,11,Not Free,1,10
Bahrain,Asia,1997,73.925,598561,20292.01679,12146009861.839191,11,Not Free,1,10
Bahrain,Asia,2002,74.795,656397,23403.55927,15362026094.15019,11,Not Free,1,10
Bahrain,Asia,2007,75.635,708573,29796.04834,21112675360.41882,11,Not Free,1,10
Bangladesh,Asia,1952,37.484,46886859,684.2441716,32082059995.381004,39,Partly Free,15,24
Bangladesh,Asia,1957,39.348,51365468,661.6374577,33985317661.090706,39,Partly Free,15,24
Bangladesh,Asia,1962,41.216,56839289,686.3415538,39011165929.14725,39,Partly Free,15,24
Bangladesh,Asia,1967,43.453,62821884,721.1860862,45306268649.6704,39,Partly Free,15,24
Bangladesh,Asia,1972,45.252,70759295,630.2336265,44594887096.43332,39,Partly Free,15,24
Bangladesh,Asia,1977,46.923,80428306,659.8772322,53072807953.81465,39,Partly Free,15,24
Bangladesh,Asia,1982,50.009,93074406,676.9818656,63009685013.49184,39,Partly Free,15,24
Bangladesh,Asia,1987,52.819,103764241,751.9794035,78028572051.81024,39,Partly Free,15,24
Bangladesh,Asia,1992,56.018,113704579,837.8101643,95262852013.65233,39,Partly Free,15,24
Bangladesh,Asia,1997,59.412,123315288,972.7700352,119957417048.45815,39,Partly Free,15,24
Bangladesh,Asia,2002,62.013,135656790,1136.39043,154159077920.51968,39,Partly Free,15,24
Bangladesh,Asia,2007,64.062,150448339,1391.253792,209311822133.85147,39,Partly Free,15,24
Belgium,Europe,1952,68,8730405,8343.105127,72838686716.28644,96,Free,39,57
Belgium,Europe,1957,69.24,8989111,9714.960623,87328859400.77615,96,Free,39,57
Belgium,Europe,1962,70.25,9218400,10991.20676,101321340396.38399,96,Free,39,57
Belgium,Europe,1967,70.94,9556500,13149.04119,125658812132.235,96,Free,39,57
Belgium,Europe,1972,71.44,9709100,16672.14356,161871509038.396,96,Free,39,57
Belgium,Europe,1977,72.8,9821800,19117.97448,187772921747.664,96,Free,39,57
Belgium,Europe,1982,73.93,9856303,20979.84589,206783717985.14468,96,Free,39,57
Belgium,Europe,1987,75.35,9870200,22525.56308,222331812712.216,96,Free,39,57
Belgium,Europe,1992,76.46,10045622,25575.57069,256922515586.0192,96,Free,39,57
Belgium,Europe,1997,77.53,10199787,27561.19663,281118335091.1178,96,Free,39,57
Belgium,Europe,2002,78.32,10311970,30485.88375,314369518653.4875,96,Free,39,57
Belgium,Europe,2007,79.441,10392226,33692.60508,350141166520.1081,96,Free,39,57
Benin,Africa,1952,38.223,1738315,1062.7522,1847398090.5429997,66,Partly Free,21,45
Benin,Africa,1957,40.358,1925173,959.6010805,1847398090.9494264,66,Partly Free,21,45
Benin,Africa,1962,42.618,2151895,949.4990641,2043222288.5414696,66,Partly Free,21,45
Benin,Africa,1967,44.885,2427334,1035.831411,2514308802.188274,66,Partly Free,21,45
Benin,Africa,1972,47.014,2761407,1085.796879,2998327102.248753,66,Partly Free,21,45
Benin,Africa,1977,49.19,3168267,1029.161251,3260657629.222017,66,Partly Free,21,45
Benin,Africa,1982,50.904,3641603,1277.897616,4653595792.118448,66,Partly Free,21,45
Benin,Africa,1987,52.337,4243788,1225.85601,5202273024.965879,66,Partly Free,21,45
Benin,Africa,1992,53.919,4981671,1191.207681,5934204759.414951,66,Partly Free,21,45
Benin,Africa,1997,54.777,6066080,1232.975292,7479326759.295361,66,Partly Free,21,45
Benin,Africa,2002,54.406,7026113,1372.877931,9645995478.412203,66,Partly Free,21,45
Benin,Africa,2007,56.728,8078314,1441.284873,11643151767.544123,66,Partly Free,21,45
Bolivia,Americas,1952,40.414,2883315,2677.326347,7719575216.200306,63,Partly Free,25,38
Bolivia,Americas,1957,41.89,3211738,2127.686326,6833571025.294588,63,Partly Free,25,38
Bolivia,Americas,1962,43.428,3593918,2180.972546,7838236490.575228,63,Partly Free,25,38
Bolivia,Americas,1967,45.032,4040665,2586.886053,10452739933.345245,63,Partly Free,25,38
Bolivia,Americas,1972,46.714,4565872,2980.331339,13607811411.462606,63,Partly Free,25,38
Bolivia,Americas,1977,50.023,5079716,3548.097832,18023329326.77571,63,Partly Free,25,38
Bolivia,Americas,1982,53.859,5642224,3156.510452,17809739028.52525,63,Partly Free,25,38
Bolivia,Americas,1987,57.251,6156369,2753.69149,16952740924.599812,63,Partly Free,25,38
Bolivia,Americas,1992,59.957,6893451,2961.699694,20416331717.303993,63,Partly Free,25,38
Bolivia,Americas,1997,62.05,7693188,3326.143191,25588644883.28291,63,Partly Free,25,38
Bolivia,Americas,2002,63.883,8445134,3413.26269,28825460794.25046,63,Partly Free,25,38
Bolivia,Americas,2007,65.554,9119152,3822.137084,34854649033.83277,63,Partly Free,25,38
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948,2717131146.6868,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176,4164870705.376,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679,5725730640.971,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.352423,7787883436.454999,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975,10922988275.25,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305,14417374612.23,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157,17219089833.9218,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757,18718844705.98359,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445,10839134938.078785,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,17192245745.728,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,25071535764.134426,53,Partly Free,19,34
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,33897026518.41899,53,Partly Free,19,34
Botswana,Africa,1952,47.622,442308,851.2411407,376510766.46073556,72,Free,28,44
Botswana,Africa,1957,49.618,474639,918.2325349,435828972.1324011,72,Free,28,44
Botswana,Africa,1962,51.52,512764,983.6539764,504382347.55476964,72,Free,28,44
Botswana,Africa,1967,53.298,553541,1214.709294,672391397.310054,72,Free,28,44
Botswana,Africa,1972,56.024,619351,2263.611114,1401969807.067014,72,Free,28,44
Botswana,Africa,1977,59.319,781472,3214.857818,2512321368.748096,72,Free,28,44
Botswana,Africa,1982,61.484,970347,4551.14215,4416187131.82605,72,Free,28,44
Botswana,Africa,1987,63.622,1151184,6205.88385,7144114193.9784,72,Free,28,44
Botswana,Africa,1992,62.745,1342614,7954.111645,10679301652.14003,72,Free,28,44
Botswana,Africa,1997,52.556,1536536,8647.142313,13286645461.047768,72,Free,28,44
Botswana,Africa,2002,46.634,1630347,11003.60508,17939694531.36276,72,Free,28,44
Botswana,Africa,2007,50.728,1639131,12569.85177,20603633701.61187,72,Free,28,44
Brazil,Americas,1952,50.917,56602560,2108.944355,119371649390.5488,75,Free,31,44
Brazil,Americas,1957,53.285,65551171,2487.365989,163049753284.5231,75,Free,31,44
Brazil,Americas,1962,55.665,76039390,3336.585802,253711949066.74078,75,Free,31,44
Brazil,Americas,1967,57.632,88049823,3429.864357,301998949547.8588,75,Free,31,44
Brazil,Americas,1972,59.504,100840058,4985.711467,502759433503.5451,75,Free,31,44
Brazil,Americas,1977,61.489,114313951,6660.118654,761344477467.542,75,Free,31,44
Brazil,Americas,1982,63.336,128962939,7030.835878,906717258453.5254,75,Free,31,44
Brazil,Americas,1987,65.205,142938076,7807.095818,1115931255372.5662,75,Free,31,44
Brazil,Americas,1992,67.057,155975974,6950.283021,1084077163776.1375,75,Free,31,44
Brazil,Americas,1997,69.388,168546719,7957.980824,1341291557750.1165,75,Free,31,44
Brazil,Americas,2002,71.006,179914212,8131.212843,1462920751252.6248,75,Free,31,44
Brazil,Americas,2007,72.39,190010647,9065.800825,1722598680331.3838,75,Free,31,44
Bulgaria,Europe,1952,59.6,7274900,2444.286648,17781940935.5352,80,Free,34,46
Bulgaria,Europe,1957,66.61,7651254,3008.670727,23020103934.64166,80,Free,34,46
Bulgaria,Europe,1962,69.51,8012946,4254.337839,34089779369.663692,80,Free,34,46
Bulgaria,Europe,1967,70.42,8310226,5577.0028,46346153670.632805,80,Free,34,46
Bulgaria,Europe,1972,70.9,8576200,6597.494398,56581431456.1276,80,Free,34,46
Bulgaria,Europe,1977,70.81,8797022,7612.240438,66965046602.37563,80,Free,34,46
Bulgaria,Europe,1982,71.08,8892098,8224.191647,73130318095.9054,80,Free,34,46
Bulgaria,Europe,1987,71.34,8971958,8239.854824,73927631407.02539,80,Free,34,46
Bulgaria,Europe,1992,71.19,8658506,6302.623438,54571302853.66363,80,Free,34,46
Bulgaria,Europe,1997,70.32,8066057,5970.38876,48157496050.31932,80,Free,34,46
Bulgaria,Europe,2002,72.14,7661799,7696.777725,58971163876.62727,80,Free,34,46
Bulgaria,Europe,2007,73.005,7322858,10680.79282,78213929148.27957,80,Free,34,46
Burkina Faso,Africa,1952,31.975,4469979,543.2552413,2428339520.2509327,56,Partly Free,23,33
Burkina Faso,Africa,1957,34.906,4713416,617.1834648,2909042417.923757,56,Partly Free,23,33
Burkina Faso,Africa,1962,37.814,4919632,722.5120206,3554493256.928419,56,Partly Free,23,33
Burkina Faso,Africa,1967,40.697,5127935,794.8265597,4075818934.4152193,56,Partly Free,23,33
Burkina Faso,Africa,1972,43.591,5433886,854.7359763,4644537855.3129015,56,Partly Free,23,33
Burkina Faso,Africa,1977,46.137,5889574,743.3870368,4378232963.874324,56,Partly Free,23,33
Burkina Faso,Africa,1982,48.122,6634596,807.1985855,5355436506.563958,56,Partly Free,23,33
Burkina Faso,Africa,1987,49.557,7586551,912.0631417,6919413539.727277,56,Partly Free,23,33
Burkina Faso,Africa,1992,50.26,8878303,931.7527731,8272383440.6720495,56,Partly Free,23,33
Burkina Faso,Africa,1997,50.324,10352843,946.2949618,9796843171.206398,56,Partly Free,23,33
Burkina Faso,Africa,2002,50.65,12251209,1037.645221,12712408470.32219,56,Partly Free,23,33
Burkina Faso,Africa,2007,52.295,14326203,1217.032994,17435461729.74178,56,Partly Free,23,33
Burundi,Africa,1952,39.031,2445618,339.2964587,829789526.7329767,13,Not Free,3,10
Burundi,Africa,1957,40.533,2667518,379.5646281,1012495477.6200558,13,Not Free,3,10
Burundi,Africa,1962,42.045,2961915,355.2032273,1052081766.9882795,13,Not Free,3,10
Burundi,Africa,1967,43.548,3330989,412.9775136,1375623555.0489504,13,Not Free,3,10
Burundi,Africa,1972,44.057,3529983,464.0995039,1638263359.0754337,13,Not Free,3,10
Burundi,Africa,1977,45.91,3834415,556.1032651,2132330701.2484167,13,Not Free,3,10
Burundi,Africa,1982,47.471,4580410,559.603231,2563212235.3047104,13,Not Free,3,10
Burundi,Africa,1987,48.211,5126023,621.8188189,3187457567.5142345,13,Not Free,3,10
Burundi,Africa,1992,44.736,5809236,631.6998778,3669693671.311361,13,Not Free,3,10
Burundi,Africa,1997,45.326,6121610,463.1151478,2835010319.923958,13,Not Free,3,10
Burundi,Africa,2002,47.36,7021078,446.4035126,3134233881.438583,13,Not Free,3,10
Burundi,Africa,2007,49.58,8390505,430.0706916,3608510288.223258,13,Not Free,3,10
Cambodia,Asia,1952,39.417,4693836,368.4692856,1729534397.6435616,25,Not Free,5,20
Cambodia,Asia,1957,41.366,5322536,434.0383364,2310184670.8691106,25,Not Free,5,20
Cambodia,Asia,1962,43.415,6083619,496.9136476,3023033307.8986645,25,Not Free,5,20
Cambodia,Asia,1967,45.415,6960067,523.4323142,3643123976.797051,25,Not Free,5,20
Cambodia,Asia,1972,40.317,7450606,421.6240257,3141354495.624574,25,Not Free,5,20
Cambodia,Asia,1977,31.22,6978607,524.9721832,3663574552.4848027,25,Not Free,5,20
Cambodia,Asia,1982,50.957,7272485,624.4754784,4541488549.531824,25,Not Free,5,20
Cambodia,Asia,1987,53.914,8371791,683.8955732,5725430804.655601,25,Not Free,5,20
Cambodia,Asia,1992,55.803,10150094,682.3031755,6925441367.823497,25,Not Free,5,20
Cambodia,Asia,1997,56.534,11782962,734.28517,8652054255.27354,25,Not Free,5,20
Cambodia,Asia,2002,56.752,12926707,896.2260153,11585251105.560617,25,Not Free,5,20
Cambodia,Asia,2007,59.723,14131858,1713.778686,24218877033.97859,25,Not Free,5,20
Cameroon,Africa,1952,38.523,5009067,1172.667655,5873970852.627885,18,Not Free,7,11
Cameroon,Africa,1957,40.428,5359923,1313.048099,7037836705.936378,18,Not Free,7,11
Cameroon,Africa,1962,42.643,5793633,1399.607441,8108811857.223154,18,Not Free,7,11
Cameroon,Africa,1967,44.799,6335506,1508.453148,9556813969.872889,18,Not Free,7,11
Cameroon,Africa,1972,47.049,7021028,1684.146528,11824439929.190784,18,Not Free,7,11
Cameroon,Africa,1977,49.355,7959865,1783.432873,14195884905.642145,18,Not Free,7,11
Cameroon,Africa,1982,52.961,9250831,2367.983282,21905813152.60734,18,Not Free,7,11
Cameroon,Africa,1987,54.985,10780667,2602.664206,28058456117.705402,18,Not Free,7,11
Cameroon,Africa,1992,54.314,12467171,1793.163278,22355673217.746536,18,Not Free,7,11
Cameroon,Africa,1997,52.199,14195809,1694.337469,24052491091.467422,18,Not Free,7,11
Cameroon,Africa,2002,49.856,15929988,1934.011449,30808779174.432613,18,Not Free,7,11
Cameroon,Africa,2007,50.43,17696293,2042.09524,36137515700.94532,18,Not Free,7,11
Canada,Americas,1952,68.75,14785584,11367.16112,168070115581.2941,98,Free,40,58
Canada,Americas,1957,69.96,17010154,12489.95006,212455973972.90924,98,Free,40,58
Canada,Americas,1962,71.3,18985849,13462.48555,255596717816.98193,98,Free,40,58
Canada,Americas,1967,72.13,20819767,16076.58803,334710816939.58905,98,Free,40,58
Canada,Americas,1972,72.88,22284500,18970.57086,422749686329.67,98,Free,40,58
Canada,Americas,1977,74.21,23796400,22090.88306,525683489648.984,98,Free,40,58
Canada,Americas,1982,75.76,25201900,22898.79214,577093069633.066,98,Free,40,58
Canada,Americas,1987,76.86,26549700,26626.51503,706925986091.991,98,Free,40,58
Canada,Americas,1992,77.95,28523502,26342.88426,751391311875.8785,98,Free,40,58
Canada,Americas,1997,78.61,30305843,28954.92589,877503438098.9752,98,Free,40,58
Canada,Americas,2002,79.77,31902268,33328.96507,1063269575825.7787,98,Free,40,58
Canada,Americas,2007,80.653,33390141,36319.23501,1212704377996.0364,98,Free,40,58
Central African Republic,Africa,1952,35.463,1291695,1071.310713,1383806691.428535,10,Not Free,4,6
Central African Republic,Africa,1957,37.464,1392284,1190.844328,1657993504.365152,10,Not Free,4,6
Central African Republic,Africa,1962,39.475,1523478,1193.068753,1817613997.682934,10,Not Free,4,6
Central African Republic,Africa,1967,41.478,1733638,1136.056615,1969510917.91537,10,Not Free,4,6
Central African Republic,Africa,1972,43.457,1927260,1070.013275,2062193784.3765001,10,Not Free,4,6
Central African Republic,Africa,1977,46.775,2167533,1109.374338,2404605486.968154,10,Not Free,4,6
Central African Republic,Africa,1982,48.295,2476971,956.7529907,2369849412.1271696,10,Not Free,4,6
Central African Republic,Africa,1987,50.485,2840009,844.8763504,2399456439.0231533,10,Not Free,4,6
Central African Republic,Africa,1992,49.396,3265124,747.9055252,2442004280.063125,10,Not Free,4,6
Central African Republic,Africa,1997,46.066,3696513,740.5063317,2737291281.7113624,10,Not Free,4,6
Central African Republic,Africa,2002,43.308,4048013,738.6906068,2990229179.3042884,10,Not Free,4,6
Central African Republic,Africa,2007,44.741,4369038,706.016537,3084613078.781406,10,Not Free,4,6
Chad,Africa,1952,38.092,2682462,1178.665927,3161726559.872274,17,Not Free,3,14
Chad,Africa,1957,39.881,2894855,1308.495577,3787904963.556335,17,Not Free,3,14
Chad,Africa,1962,41.716,3150417,1389.817618,4378505050.646707,17,Not Free,3,14
Chad,Africa,1967,43.601,3495967,1196.810565,4184010240.491355,17,Not Free,3,14
Chad,Africa,1972,45.569,3899068,1104.103987,4304976524.384116,17,Not Free,3,14
Chad,Africa,1977,47.383,4388260,1133.98495,4976220796.687,17,Not Free,3,14
Chad,Africa,1982,49.517,4875118,797.9081006,3889896143.5808706,17,Not Free,3,14
Chad,Africa,1987,51.051,5498955,952.386129,5237128465.995194,17,Not Free,3,14
Chad,Africa,1992,51.724,6429417,1058.0643,6802736597.5131,17,Not Free,3,14
Chad,Africa,1997,51.573,7562011,1004.961353,7599528805.960883,17,Not Free,3,14
Chad,Africa,2002,50.525,8835739,1156.18186,10215721151.49454,17,Not Free,3,14
Chad,Africa,2007,50.651,10238807,1704.063724,17447579585.73727,17,Not Free,3,14
Chile,Americas,1952,54.745,6377619,3939.978789,25127683584.32339,90,Free,38,52
Chile,Americas,1957,56.074,7048426,4315.622723,30418347406.984,90,Free,38,52
Chile,Americas,1962,57.924,7961258,4519.094331,35977675895.4284,90,Free,38,52
Chile,Americas,1967,60.523,8858908,5106.654313,45239380746.670204,90,Free,38,52
Chile,Americas,1972,63.441,9717524,5494.024437,53388314323.13399,90,Free,38,52
Chile,Americas,1977,67.052,10599793,4756.763836,50420712011.48595,90,Free,38,52
Chile,Americas,1982,70.565,11487112,5095.665738,58534483046.96865,90,Free,38,52
Chile,Americas,1987,72.492,12463354,5547.063754,69135019226.67091,90,Free,38,52
Chile,Americas,1992,74.126,13572994,7596.125964,103102172132.61621,90,Free,38,52
Chile,Americas,1997,75.816,14599929,10118.05318,147722858046.22424,90,Free,38,52
Chile,Americas,2002,77.86,15497046,10778.78385,167039309147.5071,90,Free,38,52
Chile,Americas,2007,78.553,16284741,13171.63885,214496727217.78784,90,Free,38,52
China,Asia,1952,44,556263527,400.448611,222754956737.11102,10,Not Free,-1,11
China,Asia,1957,50.54896,637408000,575.9870009,367138722269.6672,10,Not Free,-1,11
China,Asia,1962,44.50136,665770000,487.6740183,324678731163.591,10,Not Free,-1,11
China,Asia,1967,58.38112,754550000,612.7056934,462317080954.97,10,Not Free,-1,11
China,Asia,1972,63.11888,862030000,676.9000921,583508186392.963,10,Not Free,-1,11
China,Asia,1977,63.96736,943455000,741.2374699,699324197164.5044,10,Not Free,-1,11
China,Asia,1982,65.525,1000281000,962.4213805,962691820907.9205,10,Not Free,-1,11
China,Asia,1987,67.274,1084035000,1378.904018,1494780217152.63,10,Not Free,-1,11
China,Asia,1992,68.69,1164970000,1655.784158,1928938870545.26,10,Not Free,-1,11
China,Asia,1997,70.426,1230075000,2289.234136,2815929679840.2,10,Not Free,-1,11
China,Asia,2002,72.028,1280400000,3119.280896,3993927259238.4004,10,Not Free,-1,11
China,Asia,2007,72.961,1318683096,4959.114854,6539500929092.309,10,Not Free,-1,11
Colombia,Americas,1952,50.643,12350771,2144.115096,26481474548.339016,66,Partly Free,29,37
Colombia,Americas,1957,55.118,14485993,2323.805581,33662631379.726933,66,Partly Free,29,37
Colombia,Americas,1962,57.863,17009885,2492.351109,42394605743.71247,66,Partly Free,29,37
Colombia,Americas,1967,59.963,19764027,2678.729839,52942488863.70165,66,Partly Free,29,37
Colombia,Americas,1972,61.623,22542890,3264.660041,73594872191.6585,66,Partly Free,29,37
Colombia,Americas,1977,63.837,25094412,3815.80787,95755454802.62244,66,Partly Free,29,37
Colombia,Americas,1982,66.653,27764644,4397.575659,122097122635.2004,66,Partly Free,29,37
Colombia,Americas,1987,67.768,30964245,4903.2191,151824477501.0795,66,Partly Free,29,37
